<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180531,000000,1.1685900,1.1719000,1.1673500,1.1697300,5256000
20180601,000000,1.1682900,1.1712400,1.1678100,1.1680000,12734000
20180604,000000,1.1706900,1.1731900,1.1683100,1.1730600,6317000
20180605,000000,1.1705000,1.1712000,1.1680000,1.1680000,11843000
20180606,000000,1.1753000,1.1776900,1.1740000,1.1767600,6693000
20180607,000000,1.1807800,1.1833900,1.1807800,1.1824900,15242000
20180608,000000,1.1776900,1.1779000,1.1725200,1.1744800,9033000
20180613,000000,1.1739900,1.1769400,1.1735000,1.1750200,18330000
20180614,000000,1.1814100,1.1846000,1.1748000,1.1748700,9145000
20180615,000000,1.1567900,1.1609100,1.1544000,1.1596600,8266000
20180618,000000,1.1574000,1.1619800,1.1566300,1.1610600,30527000
20180619,000000,1.1580000,1.1592000,1.1534000,1.1545500,12017000
20180620,000000,1.1566900,1.1588000,1.1538500,1.1574200,4620000
20180621,000000,1.1538100,1.1563000,1.1510500,1.1541800,11269000
20180622,000000,1.1640900,1.1668000,1.1630000,1.1641800,9527000
20180625,000000,1.1634400,1.1690000,1.1630600,1.1677000,6195000
20180626,000000,1.1713000,1.1713000,1.1650000,1.1668000,7691000
20180627,000000,1.1665300,1.1669300,1.1614200,1.1629000,4919000
20180628,000000,1.1538200,1.1590000,1.1525900,1.1576000,15366000
20180629,000000,1.1631200,1.1658500,1.1611500,1.1653900,21789000
20180702,000000,1.1649700,1.1649700,1.1627000,1.1628800,3432000
20180703,000000,1.1650000,1.1669000,1.1645100,1.1663000,6239000
20180705,000000,1.1693400,1.1701300,1.1679900,1.1700300,7455000
20180706,000000,1.1714600,1.1715400,1.1701900,1.1708900,6153000
20180709,000000,1.1762100,1.1781000,1.1754700,1.1781000,11508000
20180710,000000,1.1746000,1.1850200,1.1690900,1.1703700,11930000
20180711,000000,1.1730100,1.1738700,1.1695000,1.1713700,6483000
20180712,000000,1.1678500,1.1687000,1.1654100,1.1654100,5746000
20180713,000000,1.1640900,1.1645500,1.1617600,1.1627900,7495000
20180716,000000,1.1690800,1.1722400,1.1683300,1.1716000,2290000
20180717,000000,1.1729300,1.1740700,1.1706800,1.1710500,10991000
20180718,000000,1.1630000,1.1639000,1.1607100,1.1608000,11168000
20180719,000000,1.1620600,1.1623800,1.1586000,1.1595700,18101000
20180720,000000,1.1652700,1.1660700,1.1637000,1.1659000,5782000
20180723,000000,1.1718000,1.1740300,1.1693900,1.1715000,2724000
20180724,000000,1.1657400,1.1712600,1.1657400,1.1711300,10367000
20180725,000000,1.1697400,1.1703000,1.1682500,1.1697300,18950000
20180726,000000,1.1723200,1.1735000,1.1704700,1.1708500,6216000
20180727,000000,1.1643000,1.1654400,1.1620200,1.1624000,11815000
20180730,000000,1.1656000,1.1690500,1.1645700,1.1678900,4698000
20180731,000000,1.1720000,1.1742100,1.1710900,1.1730000,4943000
20180801,000000,1.1679500,1.1688800,1.1677100,1.1682000,5298000
20180802,000000,1.1627900,1.1631600,1.1600000,1.1600000,8714000
20180803,000000,1.1584700,1.1601500,1.1569100,1.1595100,5103000
20180806,000000,1.1561000,1.1564000,1.1530300,1.1540000,10051000
20180807,000000,1.1578500,1.1600700,1.1568500,1.1595000,7859000
